Pendant Style,Chain Style（Optional）,"Clasp（Optional, we could pick one as default）",,,,,,,,,,,,,,,,,,,,,,,test1,test2
Solitaire(fixed? moveable? or choosable),Cable Chain（most classic）,Spring Ring,,,,,,,,,,,,,,,,,,,,,,,,
Halo,Box Chain,Lobster Clasp,,,,,,,,,,,,,,,,,,,,,,,,
Clover,Wheat Chain,Adjustable Slider Clasp,,,,,,,,,,,,,,,,,,,,,,,,
Graduated（need choose total carats）,Singapore Chain,,,,,,,,,,,,,,,,,,,,,,,,,
Journey,Rope Chain,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennis Necklace,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Necklace,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggested Style(English),Style(中文),reference link,images,Comparable specs,Competitor price refs,Lowest comparable price,Average comparable price,Comparability notes,,,,,,,,,,,,,,,,,,
